X,Y,TAM1,TAM2,TAM3,TAM4,TAM5,COLOR
62,47,96,41,27,21,3,0
40,49,14,99,35,99,89,0
66,14,55,48,66,17,28,1
39,71,6,73,58,3,65,0
64,51,81,70,65,6,80,0
80,9,93,81,62,56,37,1
83,83,67,53,24,45,31,0
13,63,32,3,85,57,5,1
5,78,96,24,23,50,37,1
52,97,73,54,5,99,66,1
43,66,18,7,12,86,45,0
9,4,80,34,78,64,77,1
16,22,7,44,86,59,6,0
51,44,87,92,38,54,68,0
80,29,37,37,71,55,57,0
67,95,54,40,33,9,98,1
17,95,47,96,17,66,82,1
17,9,50,41,17,71,39,1
77,79,7,29,30,48,62,0
42,90,42,65,73,98,53,1
73,59,94,63,59,49,10,0
64,22,84,45,85,18,26,0
75,57,43,39,35,95,93,0
58,73,4,52,76,55,25,0
40,11,41,78,58,79,11,1
69,27,27,32,37,61,59,0
28,80,14,49,61,52,73,0
43,46,70,95,2,96,39,0
71,1,25,62,16,24,39,1
55,83,11,96,92,21,27,0
12,15,81,6,87,27,43,1
72,30,23,57,71,63,57,0
34,51,78,94,23,39,73,0
39,93,4,17,53,50,4,1
61,6,55,97,24,33,86,1
18,28,5,33,73,36,87,0
92,90,86,6,84,21,71,1
57,25,31,57,24,29,47,0
56,75,91,24,67,98,32,0
39,28,79,22,3,43,73,0
83,74,10,71,49,98,12,0
55,32,89,36,60,48,4,0
57,82,26,56,58,95,39,0
44,94,7,78,63,72,21,1
69,58,29,18,74,95,82,0
46,46,89,95,52,75,71,0
97,61,29,32,85,23,0,1
30,24,72,89,38,26,16,0
11,41,83,89,28,8,0,1
66,83,76,78,61,60,96,0
15,21,83,90,36,7,61,1
46,57,72,23,94,90,1,0
32,22,83,21,42,56,16,0
2,40,55,25,56,79,90,1
22,32,83,73,63,53,35,0
73,66,43,62,90,25,55,0
46,34,35,50,50,84,68,0
62,32,74,87,35,54,40,0
84,77,9,73,63,91,96,0
12,68,67,97,42,82,56,1
72,14,34,56,34,34,66,1
64,35,0,16,71,64,80,0
7,38,27,85,78,83,77,1
0,66,53,1,67,60,79,1
92,1,66,80,11,27,72,1
23,65,89,10,13,38,60,0
68,15,54,19,30,7,47,1
75,25,10,68,75,62,36,0
54,2,51,41,21,29,33,1
2,62,53,98,19,47,40,1
46,34,23,62,48,83,64,0
50,74,42,70,15,8,45,0
36,66,94,50,33,70,66,0
43,98,98,6,89,92,54,1
48,80,96,55,81,35,54,0
27,39,54,14,25,10,0,0
54,57,5,79,38,6,81,0
93,96,94,37,99,0,12,1
7,31,2,53,57,62,6,1
65,81,82,46,16,61,33,0
31,2,51,94,31,58,51,1
96,74,25,43,65,88,75,1
93,61,58,56,21,17,88,1
22,96,65,67,47,26,1,1
99,66,32,96,60,48,46,1
13,15,15,90,4,63,3,1
59,31,2,61,51,97,78,0
69,11,93,84,25,11,40,1
42,97,22,56,9,88,94,1
50,26,37,38,22,53,28,0
68,26,80,46,42,28,51,0
52,99,6,61,29,17,18,1
95,13,36,47,61,9,94,1
48,66,83,77,77,65,18,0
7,51,32,10,67,65,59,1
61,66,24,39,49,22,32,0
23,67,77,72,38,16,17,0
9,26,95,26,25,77,72,1
7,61,29,63,68,75,55,1
63,60,31,7,8,31,1,0
45,17,0,36,51,59,75,0
50,79,30,1,76,67,56,0
16,51,11,67,54,81,12,0
42,37,72,13,14,23,14,0
50,40,15,10,28,78,9,0
96,14,25,46,61,4,84,1
60,42,59,96,38,4,72,0
20,45,85,48,0,89,14,0
68,27,58,64,21,21,94,0
19,94,76,71,3,8,50,1
19,18,69,99,4,55,99,0
90,28,80,49,65,52,65,1
15,99,17,31,16,82,37,1
40,20,50,18,73,90,79,0
92,46,55,21,86,21,31,1
12,55,22,90,62,21,89,1
51,38,6,46,82,22,81,0
93,56,60,43,29,64,34,1
16,94,84,37,86,81,16,1
67,51,37,10,93,66,64,0
6,72,47,8,27,71,43,1
39,24,73,76,68,66,80,0
92,89,98,50,60,87,2,1
5,37,90,38,69,88,49,1
15,44,21,95,28,75,16,1
82,95,74,12,43,95,65,1
86,87,8,61,14,78,47,1
29,39,85,82,64,64,79,0
32,3,49,54,50,43,16,1
13,99,96,45,79,10,37,1
82,10,91,44,48,37,22,1
90,20,17,56,29,49,4,1
16,87,15,31,80,36,40,1
39,29,43,27,4,56,83,0
7,15,98,58,51,62,83,1
57,66,41,61,27,30,13,0
88,39,79,94,6,2,22,1
60,76,54,75,60,81,8,0
89,62,67,72,71,6,70,1
55,6,62,65,20,27,86,1
77,67,99,56,82,48,76,0
99,18,23,58,76,17,17,1
14,31,22,27,95,84,51,1
58,47,20,78,17,87,12,0
39,27,7,45,58,60,20,0
15,37,2,11,81,30,87,1
99,33,23,28,80,54,74,1
80,3,58,34,27,48,34,1
59,79,79,12,7,45,21,0
21,94,24,96,89,85,8,1
52,70,34,71,4,98,23,0
22,8,80,40,9,16,87,1
38,74,87,44,87,84,53,0
80,25,36,38,37,59,96,0
5,6,96,43,74,92,52,1
54,29,57,85,76,11,3,0
36,70,1,29,82,89,17,0
44,92,31,74,65,73,46,1
31,75,57,57,49,44,69,0
49,67,50,35,83,99,66,0
5,19,22,23,95,30,31,1
90,87,5,13,56,5,21,1
11,68,25,80,79,15,37,1
51,91,35,44,2,57,8,1
21,81,56,26,31,81,53,0
93,45,58,28,97,28,11,1
67,99,75,53,36,22,21,1
28,31,26,30,17,30,93,0
40,78,98,86,29,62,44,0
98,61,63,54,24,87,20,1
65,31,36,93,78,80,26,0
52,81,85,77,85,21,15,0
22,85,76,12,29,22,40,1
23,34,53,41,9,45,74,0
70,52,19,6,55,60,10,0
26,45,27,66,42,74,24,0
75,19,49,69,42,4,19,0
33,70,75,95,18,27,15,0
16,46,27,40,16,36,40,0
61,53,87,83,62,96,23,0
75,54,40,78,79,9,57,0
85,10,77,38,58,17,51,1
24,94,62,7,80,99,55,1
40,91,3,28,81,18,3,1
47,1,82,60,75,38,78,1
67,19,4,31,40,10,30,0
54,4,51,75,88,93,77,1
35,5,40,68,72,30,23,1
73,27,20,50,98,64,97,0
86,60,42,12,68,92,27,1
32,47,57,72,37,43,17,0
70,70,73,95,60,49,31,0
14,82,75,71,98,57,42,1
83,66,66,15,3,85,28,0
91,14,83,65,39,0,12,1
88,57,34,13,41,46,28,1
13,22,33,11,21,42,59,1
50,88,39,46,4,5,38,1
99,94,28,32,83,57,96,1
7,6,71,55,40,25,32,1
98,74,52,26,6,56,40,1
81,1,59,8,16,0,4,1
27,39,0,43,1,32,88,0
56,41,52,21,2,65,21,0
18,79,45,9,97,61,35,0
71,79,28,2,50,31,46,0
56,79,48,35,42,60,6,0
75,66,39,18,47,13,58,0
5,42,95,44,31,43,69,1
65,63,97,1,37,56,44,0
41,7,83,58,2,66,84,1
45,51,7,30,38,88,92,0
8,93,86,46,10,47,86,1
74,57,63,85,92,54,54,0
99,59,5,78,46,59,78,1
50,56,76,32,46,41,18,0
40,79,92,7,16,24,59,0
32,5,57,19,63,17,10,1
42,88,92,37,47,61,52,1
85,67,31,54,14,61,17,1
76,89,55,54,40,77,27,1
87,25,11,76,96,74,88,1
8,36,94,99,34,71,95,1
48,17,19,1,97,17,43,0
74,31,9,72,53,30,62,0
82,36,39,21,67,42,98,0
78,59,49,86,92,92,65,0
94,19,56,79,42,77,48,1
60,96,21,70,8,90,66,1
94,43,62,22,39,45,33,1
33,75,61,83,71,99,87,0
26,96,96,79,20,68,42,1
53,59,92,81,57,7,24,0
44,58,64,5,53,27,59,0
24,6,54,89,15,26,69,1
41,94,59,99,27,32,70,1
28,89,92,76,55,10,79,1
72,81,22,42,71,57,62,0
7,24,71,44,32,13,47,1
70,26,0,30,0,40,39,0
12,96,90,29,9,42,52,1
37,21,95,31,7,31,86,0
91,67,77,3,56,93,3,1
45,11,94,15,46,51,32,1
81,12,78,46,83,51,95,1
50,14,46,28,0,1,15,1
99,28,65,3,94,90,3,1
85,14,32,87,20,27,81,1
48,86,44,92,24,99,52,1
55,29,92,72,3,69,60,0
51,6,60,11,0,41,24,1
83,58,84,20,46,53,34,0
49,37,28,21,54,21,83,0
25,30,81,90,1,24,95,0
8,60,50,21,95,65,98,1
2,63,25,9,39,47,22,1
2,87,8,33,24,62,54,1
84,9,31,78,99,54,17,1
6,69,83,15,3,63,70,1
41,79,55,26,32,48,7,0
21,31,51,43,90,72,19,0
48,97,70,49,46,30,31,1
42,66,48,75,32,82,67,0
27,33,99,67,86,81,13,0
78,93,32,90,53,63,30,1
97,43,58,60,95,19,27,1
78,54,65,35,8,66,64,0
69,33,48,65,18,28,29,0
25,7,65,39,19,56,42,1
40,45,17,48,96,0,19,0
51,47,39,99,50,33,13,0
91,5,42,92,51,62,20,1
97,12,43,20,64,57,97,1
83,83,59,66,88,85,12,0
95,1,74,44,76,20,20,1
22,92,43,81,90,2,27,1
8,63,95,33,82,26,84,1
1,49,9,15,80,52,70,1
97,63,89,96,25,34,91,1
14,1,13,84,26,80,66,1
19,66,42,68,97,62,99,0
27,95,19,65,71,78,87,1
17,42,7,5,87,49,82,0
53,26,73,48,40,3,25,0
55,84,87,95,48,87,66,0
92,53,28,15,89,22,57,1
33,45,45,6,25,31,58,0
16,95,75,43,80,84,63,1
62,69,89,69,32,56,63,0
39,44,31,19,57,95,53,0
17,61,44,91,25,22,2,0
77,81,64,52,98,6,78,0
90,70,8,12,67,65,5,1
12,42,29,46,50,0,77,1
47,61,70,25,33,64,14,0
95,68,66,35,52,65,74,1
67,49,85,36,18,72,24,0
73,43,82,17,34,64,37,0
45,2,44,29,65,36,18,1
28,0,8,43,66,84,7,1
4,97,59,57,52,99,98,1
22,29,66,61,30,97,79,0
41,8,79,6,93,54,52,1
51,37,26,4,6,53,33,0
48,23,52,2,15,85,86,0
37,94,20,22,12,92,35,1
41,52,78,34,45,39,98,0
6,0,89,99,44,60,13,1
43,80,47,11,93,34,68,0
85,92,35,28,44,33,74,1
30,34,36,60,67,34,23,0
40,93,54,93,8,14,12,1
15,5,15,1,51,80,17,1
82,98,81,6,61,96,80,1
86,71,88,8,74,10,50,1
9,6,60,99,7,31,64,1
6,94,35,0,89,21,99,1
40,1,93,16,60,82,77,1
75,13,58,4,82,76,64,1
88,48,5,26,48,27,37,1
71,75,6,30,47,25,29,0
9,37,60,8,48,98,4,1
87,4,57,3,32,67,20,1
87,35,37,74,11,66,91,1
43,36,8,3,32,41,79,0
32,24,94,63,6,72,84,0
25,6,69,88,77,33,12,1
48,51,5,41,23,37,16,0
74,54,28,1,47,54,69,0
53,93,7,13,60,19,62,1
76,37,20,41,64,6,75,0
81,29,16,86,62,32,51,0
88,84,64,17,3,18,63,1
83,40,81,39,63,17,86,0
24,84,70,22,67,28,24,0
57,91,46,38,9,37,72,1
4,65,98,60,42,88,83,1
10,19,66,35,62,1,78,1
70,49,74,21,21,67,63,0
21,36,87,25,65,88,68,0
65,42,94,45,84,55,72,0
13,25,66,58,1,85,39,1
3,3,70,23,4,76,18,1
66,50,77,19,36,66,44,0
44,46,34,92,56,18,67,0
10,79,48,14,32,14,42,1
68,79,48,61,62,42,65,0
82,27,78,92,88,99,95,0
92,83,94,56,33,87,98,1
47,2,5,34,91,91,47,1
34,26,23,80,44,22,16,0
66,91,78,25,59,45,5,1
86,75,6,52,71,3,87,1
73,8,72,97,75,82,39,1
84,78,66,7,64,36,69,0
13,36,31,16,19,5,32,1
67,61,96,74,8,3,8,0
64,82,24,10,51,85,59,0
96,13,21,95,96,44,24,1
24,83,45,25,12,80,66,0
82,98,15,88,31,3,89,1
97,27,25,16,14,1,0,1
51,61,27,89,44,16,69,0
72,0,5,78,84,6,94,1
92,56,44,32,89,3,29,1
16,8,84,40,6,15,73,1
46,59,53,54,42,84,10,0
26,91,75,88,63,20,14,1
32,23,68,46,50,88,57,0
63,90,71,67,16,89,13,1
93,68,43,72,21,68,37,1
87,57,70,38,98,55,38,1
9,11,72,46,33,98,5,1
17,33,72,49,65,90,95,0
67,8,21,5,89,75,99,1
16,67,31,23,54,77,43,0
16,66,32,11,57,92,75,0
65,27,18,92,90,37,9,0
88,52,57,52,95,94,1,1
30,32,39,76,63,53,51,0
12,3,79,11,94,99,93,1
16,69,22,66,29,38,2,0
14,81,7,44,82,45,73,1
49,5,82,77,3,20,93,1
52,88,77,34,44,75,31,1
53,36,37,32,22,51,30,0
40,49,30,34,59,77,54,0
43,60,61,46,53,28,5,0
25,61,87,15,46,33,12,0
49,94,60,53,41,42,78,1
27,33,23,19,99,59,19,0
35,72,54,49,14,44,96,0
19,36,83,50,72,67,88,0
17,45,72,9,51,94,96,0
34,24,81,67,2,68,43,0
88,65,47,76,15,79,44,1
92,10,0,45,53,55,58,1
90,62,50,8,13,48,53,1
77,71,65,81,74,0,98,0
75,2,52,60,86,92,94,1
5,74,28,29,33,23,61,1
42,32,8,80,3,83,36,0
60,25,26,91,19,33,20,0
51,24,25,56,62,84,81,0
38,64,36,71,75,43,53,0
50,50,74,80,60,58,84,0
76,38,95,69,67,25,48,0
15,40,22,65,28,4,42,1
4,23,35,44,28,96,79,1
75,66,43,99,84,76,68,0
6,98,53,82,69,83,23,1
35,88,34,2,53,57,59,1
33,65,26,79,1,73,83,0
3,28,97,67,26,43,61,1
61,42,98,34,22,44,5,0
36,40,2,95,73,30,56,0
33,29,88,68,57,89,17,0
9,14,26,55,68,32,35,1
46,70,63,23,27,24,61,0
88,44,89,55,50,55,84,1
48,51,32,70,25,2,50,0
20,65,66,65,94,25,46,0
71,47,79,74,24,67,25,0
80,98,62,26,37,31,23,1
52,57,32,11,34,61,28,0
76,12,79,1,75,47,86,1
13,50,85,61,69,83,5,1
1,48,8,27,26,67,22,1
46,62,40,32,16,77,1,0
93,95,21,95,24,95,1,1
42,11,62,47,93,1,2,1
91,48,49,1,63,12,13,1
58,15,77,18,19,23,92,1
5,1,38,66,9,32,49,1
81,81,43,15,6,91,69,0
52,91,4,94,81,64,78,1
61,49,3,99,87,79,36,0
17,72,16,65,8,34,4,0
44,33,97,79,60,7,9,0
69,61,25,63,54,8,85,0
62,70,63,81,77,0,93,0
21,83,32,39,93,46,30,0
37,82,99,42,25,31,64,0
93,2,12,94,57,89,3,1
82,96,99,1,6,95,59,1
60,41,12,35,78,36,73,0
16,80,81,56,70,60,6,0
11,3,34,86,81,37,5,1
95,19,99,34,31,77,52,1
90,38,70,60,45,35,94,1
14,20,5,0,77,68,84,1
51,31,89,22,75,54,38,0
45,50,75,36,99,88,8,0
37,99,66,90,96,15,42,1
40,97,65,26,45,89,81,1
5,16,16,70,99,69,66,1
61,81,49,62,89,68,34,0
54,78,70,60,42,84,44,0
71,77,96,65,87,70,53,0
70,77,57,11,2,29,39,0
45,87,74,81,63,25,16,1
46,78,79,34,60,44,63,0
56,96,23,28,12,28,99,1
73,95,26,6,68,54,98,1
50,70,63,51,47,80,39,0
25,95,85,32,66,95,17,1
58,75,83,80,58,89,62,0
4,91,84,16,95,19,91,1
86,83,73,4,8,90,37,1
91,33,17,37,97,32,44,1
90,4,11,64,26,40,28,1
3,74,61,11,83,91,30,1
37,10,42,83,22,39,93,1
45,47,25,38,62,79,31,0
5,60,19,81,56,51,30,1
90,49,34,21,9,58,32,1
76,52,52,80,34,78,90,0
79,87,8,34,93,59,98,1
39,93,9,5,22,62,39,1
67,4,94,17,93,13,75,1
15,16,26,41,88,86,24,1
7,41,97,30,70,98,47,1
92,67,39,1,35,53,97,1
79,22,86,25,57,64,86,0
88,89,19,41,11,88,46,1
91,38,60,30,72,70,47,1
92,0,56,50,0,70,60,1
89,35,8,94,29,42,78,1
8,64,19,10,90,92,6,1
69,9,41,9,68,55,62,1
52,18,97,75,96,4,34,0
86,36,30,56,95,89,41,1
28,45,44,89,56,64,73,0
32,96,43,60,91,81,38,1
33,97,24,92,60,68,74,1
57,40,15,66,27,17,36,0
61,62,66,73,82,75,18,0
72,70,43,72,42,90,55,0
22,15,14,96,32,9,67,1
2,65,19,69,62,18,21,1
98,69,94,29,71,54,24,1
51,13,19,7,89,84,39,1
7,28,10,41,42,68,23,1
69,52,0,66,62,98,15,0
77,65,80,56,33,79,1,0
47,28,50,41,73,66,99,0
33,61,27,89,25,83,45,0
39,4,24,29,32,78,83,1
95,76,1,8,8,80,73,1
61,34,10,72,25,98,78,0
84,43,67,25,61,72,91,0
92,86,48,62,81,63,84,1
66,80,40,36,48,29,14,0
76,8,8,8,43,48,32,1
95,0,90,81,49,97,90,1
15,17,48,96,92,1,72,1
47,74,86,39,14,91,67,0
81,36,51,70,35,35,27,0
13,28,7,75,89,91,62,1
73,8,59,86,80,82,8,1
86,75,29,24,85,29,2,1
96,26,51,5,22,63,43,1
35,57,75,48,56,92,45,0
24,32,55,65,45,88,99,0
69,13,52,42,7,51,92,1
94,36,61,34,89,18,23,1
96,74,9,75,86,76,77,1
9,67,6,51,73,82,62,1
32,26,98,61,79,63,95,0
19,42,64,39,74,18,13,0
50,62,31,2,83,53,4,0
35,30,88,50,66,9,98,0
0,60,7,84,82,44,38,1
34,87,18,9,14,23,84,1
51,71,82,89,53,69,69,0
96,71,73,66,60,82,39,1
39,13,54,45,28,62,5,1
56,73,52,1,96,35,14,0
2,14,10,1,29,59,0,1
0,27,29,47,85,47,69,1
74,97,63,44,4,87,71,1
27,42,41,15,51,30,72,0
27,15,63,48,13,66,2,1
2,61,98,35,95,56,20,1
38,43,19,71,38,78,25,0
53,77,78,15,10,91,77,0
10,74,59,38,24,18,32,1
85,42,88,7,83,96,21,1
14,61,0,65,93,81,83,1
43,46,69,17,74,68,32,0
63,42,23,21,96,67,14,0
14,19,96,28,11,25,38,1
2,19,51,97,41,55,1,1
12,99,32,74,85,29,25,1
21,11,41,96,12,50,9,1
47,74,38,56,31,42,60,0
97,5,52,94,76,39,95,1
88,90,76,13,33,13,20,1
56,20,92,62,24,86,3,0
44,21,62,42,3,17,7,0
32,7,95,64,6,43,28,1
53,93,48,65,57,45,31,1
56,77,27,42,96,98,70,0
25,16,95,98,22,66,82,0
57,76,15,6,15,84,2,0
86,24,6,88,92,52,77,1
41,24,3,64,10,50,79,0
74,1,86,88,82,87,10,1
18,86,19,42,24,49,37,1
65,77,89,52,67,36,77,0
62,14,60,85,26,61,79,1
42,5,97,70,94,34,12,1
75,38,55,68,80,6,63,0
58,92,16,99,68,45,94,1
27,47,19,17,32,96,3,0
7,8,15,97,78,35,93,1
55,70,55,56,3,26,12,0
1,73,58,35,34,29,77,1
67,70,26,13,90,0,43,0
94,85,13,11,14,29,42,1
78,58,70,36,72,62,98,0
25,21,37,50,30,96,49,0
48,87,2,9,15,49,83,1
40,56,42,63,73,51,65,0
95,57,33,72,65,92,26,1
37,37,53,76,84,17,8,0
54,16,55,96,77,95,43,0
72,14,21,51,60,36,95,1
22,29,95,51,58,63,1,0
16,12,41,82,39,31,28,1
47,68,2,13,3,36,64,0
5,28,17,73,45,85,15,1
11,65,49,19,44,51,16,1
35,15,2,85,7,72,34,1
58,62,20,94,49,22,33,0
47,43,9,0,10,41,91,0
17,67,81,37,71,53,26,0
75,85,13,83,98,55,56,1
9,59,9,62,42,21,73,1
8,19,3,46,40,49,54,1
85,13,88,68,34,94,55,1
50,26,16,35,91,97,82,0
56,8,42,83,10,64,37,1
1,46,85,82,6,37,35,1
52,15,65,74,4,54,91,1
48,97,8,30,68,86,93,1
89,8,2,43,34,37,54,1
47,38,78,46,77,54,30,0
10,54,37,19,0,33,30,1
75,90,35,64,2,51,94,1
28,77,64,68,47,69,2,0
12,17,69,90,83,87,53,1
67,86,30,56,74,73,15,1
78,16,5,88,71,29,93,0
44,2,0,86,29,66,42,1
76,50,4,28,66,37,94,0
23,4,23,56,95,76,75,1
55,73,99,27,67,79,49,0
82,51,25,5,41,70,58,0
7,75,18,84,21,46,25,1
15,0,19,62,45,69,63,1
91,34,97,64,50,33,16,1
18,35,80,69,7,63,49,0
63,10,85,13,80,78,61,1
95,2,81,8,54,80,24,1
99,10,15,59,27,59,28,1
52,49,16,85,21,69,89,0
2,58,81,77,18,91,41,1
45,19,78,27,62,17,67,0
71,64,94,39,16,91,91,0
82,27,97,39,9,48,35,0
76,67,48,49,80,19,31,0
50,19,53,86,69,70,88,0
95,53,46,29,21,92,96,1
66,48,55,51,54,66,42,0
9,49,65,56,96,80,42,1
45,79,96,64,68,8,33,0
67,59,89,10,47,72,77,0
31,72,91,56,55,24,19,0
75,97,72,10,55,51,4,1
75,73,32,58,41,36,71,0
51,57,94,45,34,66,79,0
26,23,20,27,87,70,19,0
0,19,41,29,61,90,95,1
63,93,33,35,88,20,95,1
61,42,16,66,78,45,57,0
64,4,53,84,40,11,83,1
41,84,98,27,9,81,19,0
41,60,4,16,44,69,28,0
98,65,32,76,84,20,88,1
85,22,60,19,14,52,43,1
63,62,90,4,63,4,29,0
