X,Y,COLOR
44,25,0
38,24,0
56,62,0
57,73,0
32,47,0
0,74,1
35,63,0
52,4,1
66,74,0
72,67,0
47,15,1
33,82,0
94,54,1
17,33,0
83,76,0
21,55,0
1,84,1
14,95,1
