X,Y,X_ALE,ALE,COLOR
1,86,60,20,1
1,7,144,47,1
1,57,104,7,1
1,90,66,38,1
1,16,136,83,0
1,13,118,83,1
1,45,117,81,2
1,90,137,72,1
1,28,67,58,1
1,80,34,32,1
1,68,169,86,0
1,10,24,12,1
1,81,56,49,1
1,27,198,99,1
1,54,84,1,0
1,82,78,50,0
1,3,74,73,1
1,12,87,1,1
1,66,118,78,0
1,14,37,35,1
1,72,102,96,1
1,17,172,77,1
1,70,159,67,1
1,48,121,82,2
1,19,50,24,0
1,44,90,60,3
1,7,142,82,1
1,36,112,38,0
1,96,126,75,1
1,98,65,36,1
1,45,103,27,0
1,42,58,3,3
1,31,79,6,0
1,14,80,55,1
1,63,34,12,0
1,62,108,39,0
1,40,90,52,2
1,83,136,65,0
1,16,50,34,0
1,80,110,64,0
1,39,124,95,3
1,64,157,92,0
1,22,89,18,0
1,81,160,62,1
1,94,52,41,1
1,25,67,27,0
1,73,74,66,1
1,8,58,15,1
1,34,95,74,0
1,83,132,64,0
1,44,193,96,1
1,20,140,51,1
1,80,99,33,0
1,76,76,50,0
1,3,106,61,1
1,61,36,35,1
1,35,89,37,3
1,85,121,75,1
1,18,162,97,0
1,14,124,92,1
1,88,39,39,1
1,92,52,38,1
1,50,50,30,0
1,51,171,82,1
1,37,127,61,0
1,64,92,5,1
1,19,36,22,1
1,47,119,85,3
1,28,55,48,1
1,36,66,61,1
1,0,70,22,1
1,78,148,88,0
1,55,52,12,3
1,39,52,34,0
1,93,113,97,1
1,73,85,84,1
1,80,100,38,0
1,52,125,26,1
1,92,48,5,1
1,81,101,42,0
1,76,77,1,0
1,70,121,55,0
1,46,44,16,3
1,72,101,42,0
1,82,18,3,1
1,52,89,22,0
1,32,67,56,1
1,88,77,51,1
1,79,108,9,1
1,67,175,84,1
1,37,60,35,0
1,68,77,44,0
1,69,124,72,0
1,79,101,43,0
1,64,50,42,1
1,46,90,1,1
1,78,144,74,0
1,85,114,69,1
1,48,150,56,1
1,13,104,85,1
1,30,57,51,1
1,71,72,63,1
1,37,85,60,0
1,74,28,9,0
1,88,113,48,1
1,30,60,51,1
1,63,106,84,0
1,96,87,87,1
1,12,85,10,1
1,33,74,52,0
1,66,74,54,0
1,85,132,74,1
1,88,35,6,1
1,60,118,85,3
1,61,147,80,0
1,13,56,10,1
1,16,110,78,0
1,41,59,45,1
1,78,84,23,0
1,55,94,77,0
1,2,28,7,1
1,6,63,46,1
1,44,123,52,0
1,72,21,21,1
1,4,49,43,1
1,31,181,98,0
1,25,98,76,0
1,34,84,74,1
1,97,75,35,1
1,72,162,80,0
1,1,170,99,1
1,1,35,21,1
1,5,62,21,1
1,77,102,50,0
1,79,80,44,0
1,94,69,63,1
1,23,143,87,0
1,50,102,45,3
1,44,190,96,1
1,81,101,62,0
1,42,66,8,3
1,12,180,82,1
1,24,107,33,0
1,14,123,77,1
1,33,98,65,3
1,12,30,28,1
1,57,145,67,0
1,87,102,10,1
1,94,151,87,1
1,9,109,58,1
1,96,52,47,1
1,84,150,65,1
1,71,91,24,0
1,69,59,24,0
1,11,116,92,1
1,7,109,99,1
1,34,176,82,1
1,41,149,93,3
1,57,132,34,1
1,13,93,55,1
1,57,119,26,1
1,47,66,58,1
1,16,106,13,1
1,6,138,67,1
1,46,52,9,2
1,98,125,90,1
1,17,128,46,0
1,80,138,64,0
1,14,70,48,1
1,28,70,24,3
1,94,33,21,1
1,87,79,73,1
1,10,127,31,1
1,19,77,1,0
1,23,139,75,0
1,91,139,56,1
1,52,109,30,0
1,28,169,96,0
1,62,101,71,3
1,91,14,6,1
1,71,100,80,0
1,33,23,21,1
1,95,114,51,1
1,49,38,16,0
1,13,96,45,1
1,27,131,78,3
1,52,103,37,0
1,33,111,34,0
1,39,126,88,2
1,91,78,40,1
1,70,96,14,0
1,72,72,68,1
1,96,49,11,1
1,13,83,52,1
1,36,146,98,2
1,10,107,67,1
1,51,103,72,3
1,12,87,55,1
1,23,112,44,0
1,22,132,54,0
1,69,152,56,1
1,14,158,88,1
1,29,88,46,3
1,99,182,92,1
1,27,138,80,3
1,34,87,57,3
1,4,95,64,1
1,79,54,35,0
1,61,70,52,0
1,20,92,45,0
1,13,89,35,1
1,6,84,65,1
1,99,102,91,1
1,25,30,10,0
1,42,104,63,2
1,63,99,89,1
1,5,69,14,1
1,3,67,1,1
1,71,84,38,0
1,22,75,16,0
1,13,148,86,1
1,83,99,97,1
1,42,105,25,0
1,68,45,42,1
1,15,91,23,1
1,24,77,10,0
1,29,104,97,1
1,27,114,28,1
1,79,76,24,0
1,32,68,12,3
1,8,77,3,1
1,49,95,20,0
1,17,113,18,1
1,89,41,39,1
1,42,132,95,2
1,44,112,80,3
1,88,26,9,1
1,69,27,16,1
1,21,73,56,0
1,36,181,90,1
1,91,146,60,1
1,10,184,91,1
1,77,149,93,0
1,22,128,63,0
1,78,161,72,1
1,92,123,96,1
1,60,65,32,3
1,35,114,63,3
1,0,77,69,1
1,28,94,61,3
1,45,144,58,1
1,69,142,66,0
1,33,124,39,1
1,90,46,23,1
1,81,168,95,0
1,82,34,28,1
1,55,133,39,1
1,99,42,14,1
1,47,156,91,0
1,25,130,80,0
1,2,91,35,1
1,71,65,39,0
1,96,167,75,1
1,67,20,13,1
1,46,160,84,0
1,35,56,30,3
1,51,75,21,2
1,61,116,60,3
1,23,110,73,0
1,16,122,77,0
1,73,11,1,1
1,73,45,14,0
1,80,76,75,1
1,37,138,98,2
1,82,106,45,0
1,72,92,82,1
1,21,125,46,0
1,10,118,86,1
1,37,75,20,3
1,82,93,66,0
1,46,47,40,1
1,99,108,35,1
1,97,100,42,1
1,18,91,31,0
1,48,66,40,3
1,30,104,62,3
1,10,80,2,1
1,42,115,40,0
1,3,68,0,1
1,48,150,54,1
1,5,62,4,1
1,87,102,18,1
1,62,51,40,1
1,94,170,90,1
1,54,75,51,0
1,44,146,82,3
1,3,104,88,1
1,48,142,62,0
1,23,136,91,0
1,7,78,50,1
1,59,109,57,3
1,22,84,6,0
1,68,24,13,1
1,7,101,35,1
1,53,130,60,0
1,47,90,88,1
1,47,81,81,1
1,40,79,70,1
1,8,107,75,1
1,14,85,26,1
1,16,98,38,0
1,65,80,49,0
1,87,119,61,1
1,96,151,87,1
1,87,98,11,1
1,58,99,82,0
1,66,125,51,0
1,58,136,37,1
1,52,93,85,1
1,74,140,78,0
1,28,73,52,0
1,14,113,54,1
1,42,119,80,2
1,38,22,16,1
1,57,139,81,3
1,91,107,96,1
1,81,108,21,1
1,46,59,3,3
1,94,71,64,1
1,88,101,18,1
1,94,126,59,1
1,69,105,93,1
1,31,48,32,0
1,72,130,99,0
1,5,93,48,1
1,53,139,95,2
1,60,58,14,3
1,5,153,93,1
1,32,108,28,0
1,22,91,80,1
1,34,125,93,3
1,1,18,9,1
1,11,103,9,1
1,28,104,33,0
1,20,79,54,0
1,28,32,22,1
1,0,167,75,1
1,53,117,91,3
1,86,105,49,1
1,73,8,5,1
1,86,84,19,1
1,16,87,46,0
1,77,130,93,0
1,45,68,49,0
1,85,182,97,1
1,5,58,51,1
1,24,102,13,1
1,56,81,43,3
1,91,25,18,1
1,9,90,28,1
1,51,105,64,2
1,87,79,39,1
1,28,59,59,1
1,15,27,6,1
1,16,126,40,1
1,59,129,40,1
1,79,114,22,1
1,78,69,41,0
1,95,146,70,1
1,91,134,68,1
1,74,99,86,1
1,86,105,55,1
1,41,181,91,1
1,53,110,64,2
1,84,133,38,1
1,80,76,6,0
1,12,110,22,1
1,41,27,8,0
1,70,124,81,0
1,73,55,30,0
1,59,94,8,1
1,39,170,89,0
1,24,170,97,0
1,46,107,75,3
1,64,63,26,3
1,82,118,94,0
1,0,119,64,1
1,23,115,42,0
1,22,55,26,0
1,55,65,33,3
1,55,113,99,1
1,71,78,72,1
1,26,95,16,0
1,83,107,92,1
1,2,42,25,1
1,60,56,36,0
1,60,96,58,3
1,94,101,55,1
1,57,105,20,1
1,14,143,67,1
1,29,87,66,0
1,24,107,22,1
1,79,39,36,1
1,73,94,0,1
1,96,72,60,1
1,8,98,14,1
1,63,92,24,0
1,53,110,83,3
1,9,109,82,1
1,68,78,35,0
1,66,47,10,0
1,72,116,21,1
1,45,148,98,2
1,81,62,50,1
1,98,125,52,1
1,56,123,51,0
1,23,170,74,1
1,28,115,95,0
1,49,152,68,0
1,51,142,92,2
1,47,79,35,2
1,68,134,86,0
1,31,174,84,1
1,82,8,2,1
1,41,108,90,0
1,39,95,84,1
1,49,105,6,1
1,86,71,40,1
1,65,84,54,0
1,77,90,75,1
1,16,67,60,1
1,8,109,37,1
1,55,131,63,0
1,23,44,0,0
1,77,57,23,0
1,28,92,50,3
1,86,121,32,1
1,43,136,99,2
1,63,149,59,1
1,47,53,23,3
1,85,145,91,1
1,15,122,94,1
1,0,43,12,1
1,91,77,4,1
1,4,94,89,1
1,0,39,24,1
1,5,135,96,1
1,76,90,14,0
1,4,63,14,1
1,68,130,98,0
1,58,95,19,0
1,70,40,34,1
1,56,18,8,1
1,19,97,94,1
1,44,142,56,1
1,98,61,16,1
1,65,42,13,0
1,68,109,42,0
1,48,66,4,3
1,76,46,20,0
1,31,102,27,0
1,15,62,6,1
1,97,61,18,1
1,85,75,67,1
1,82,166,92,0
1,83,155,93,0
1,2,171,80,1
1,69,86,72,1
1,95,114,32,1
1,88,68,11,1
1,46,99,16,0
1,48,180,84,1
1,82,116,59,0
1,42,179,97,0
1,55,87,32,3
1,15,99,98,1
1,10,124,26,1
1,36,180,91,1
1,77,24,0,0
1,28,135,57,0
1,57,132,38,1
1,6,69,30,1
1,90,137,78,1
1,15,129,90,1
1,34,66,38,3
1,58,156,70,1
1,85,97,75,1
1,98,61,35,1
1,13,54,44,1
1,77,58,9,0
1,0,58,43,1
1,17,130,66,0
1,27,85,4,0
1,65,105,93,1
1,21,61,50,1
1,56,75,52,0
1,97,68,1,1
1,70,135,69,0
1,89,150,60,1
1,96,47,40,1
1,75,96,77,0
1,46,149,79,0
1,38,167,69,1
1,2,100,65,1
1,68,44,10,0
1,2,42,27,1
1,73,46,46,1
1,65,104,10,1
1,3,90,89,1
1,36,31,27,1
1,58,96,24,0
1,43,64,31,3
1,47,150,91,3
1,11,18,4,1
1,44,93,63,3
1,37,116,67,2
1,36,34,3,3
1,85,50,20,1
1,6,139,53,1
1,94,102,45,1
1,38,119,71,2
1,93,120,69,1
1,75,88,46,0
1,92,68,29,1
1,11,116,19,1
1,49,161,62,1
1,62,60,31,3
1,2,147,48,1
1,99,171,92,1
1,60,47,30,0
1,18,95,62,0
1,84,130,36,1
1,32,104,15,1
1,34,89,33,3
1,29,40,36,1
1,46,67,11,3
1,20,58,10,0
1,50,84,78,1
1,22,38,0,0
1,33,155,61,1
1,27,123,63,3
1,24,84,0,0
1,99,139,49,1
1,88,31,11,1
1,59,11,11,1
1,54,102,33,0
1,89,146,88,1
1,54,130,37,1
1,15,97,85,1
1,41,122,61,3
1,86,159,61,1
1,83,92,50,0
1,26,127,54,0
1,36,21,1,0
1,17,134,79,0
1,69,72,59,1
1,73,151,85,0
1,17,140,73,0
1,35,118,57,3
1,79,102,54,0
1,64,98,42,3
1,92,161,97,1
1,82,56,20,0
1,53,58,48,1
1,0,69,44,1
1,57,104,78,3
1,47,21,8,1
1,51,110,41,0
1,26,130,63,0
1,3,117,54,1
1,65,100,5,1
1,28,71,59,1
1,58,99,48,3
1,74,83,4,0
1,67,100,70,0
1,73,131,83,0
1,66,72,67,1
1,92,42,18,1
1,0,39,36,1
1,59,111,34,0
1,25,51,32,0
1,1,165,91,1
1,50,146,68,0
1,75,145,48,1
1,87,44,25,1
1,1,181,98,1
1,1,125,44,1
1,73,69,57,1
1,12,150,94,1
1,44,74,30,2
1,50,117,94,0
1,72,41,28,1
1,41,102,58,2
1,52,97,32,0
1,6,80,62,1
1,98,167,97,1
1,33,72,3,0
1,60,74,43,3
1,39,127,28,1
1,42,123,80,2
1,82,108,13,1
1,22,7,5,1
1,78,160,68,1
1,6,128,49,1
1,94,68,55,1
1,66,88,18,0
1,18,91,83,1
1,85,112,26,1
1,63,106,23,0
1,90,78,45,1
1,54,131,98,3
1,41,79,53,3
1,92,69,31,1
1,26,155,77,0
1,7,192,96,1
1,63,100,29,0
1,75,24,7,0
1,83,83,42,0
1,52,48,28,0
1,50,72,54,0
1,15,37,15,1
1,5,14,2,1
1,86,85,69,1
1,33,83,14,0
1,85,25,24,1
1,77,92,65,0
1,55,95,81,1
1,19,173,75,1
1,37,78,50,3
1,85,81,76,1
1,64,98,37,3
1,33,89,14,0
1,22,85,29,0
1,64,62,8,3
1,81,19,5,1
1,66,97,53,0
1,51,55,14,2
1,62,111,39,0
1,64,21,14,1
1,50,87,16,0
1,67,154,85,0
1,29,91,30,3
1,33,85,79,1
1,61,94,91,1
1,62,87,71,0
1,51,92,63,3
1,21,71,68,1
1,64,119,27,1
1,38,154,74,0
1,26,109,33,0
1,90,96,59,1
1,28,99,84,1
1,19,89,25,0
1,80,52,48,1
1,48,152,91,3
1,93,185,89,1
1,0,165,78,1
1,34,77,18,3
1,33,113,34,0
1,25,92,75,0
1,20,81,60,0
1,33,44,4,3
1,77,87,72,1
1,70,134,75,0
1,51,57,24,3
1,80,101,27,0
1,83,118,52,0
1,24,83,1,0
1,94,141,68,1
1,6,80,9,1
1,18,44,1,0
1,42,73,13,3
1,4,92,10,1
1,49,15,6,1
1,29,141,74,0
1,79,96,29,0
1,76,162,99,0
1,77,63,62,1
1,46,83,33,2
1,38,90,66,0
1,83,88,60,0
1,54,119,75,2
1,19,100,32,0
1,72,74,41,0
1,31,98,25,0
1,98,192,97,1
1,83,45,28,0
1,40,43,34,1
1,65,118,21,1
1,77,121,67,0
1,6,41,3,1
1,58,91,80,1
1,38,138,97,2
1,68,131,69,0
1,34,153,55,1
1,61,71,22,3
1,97,66,24,1
1,72,88,22,0
1,90,55,8,1
1,54,89,52,2
1,97,122,67,1
1,16,50,8,0
1,39,66,28,2
1,73,133,94,0
1,38,101,3,1
1,84,62,20,0
1,76,126,42,0
1,56,73,53,0
1,32,93,44,3
1,18,186,95,1
1,12,144,55,1
1,14,74,24,1
1,49,152,53,1
1,39,114,52,3
1,13,147,98,1
1,91,120,63,1
1,19,120,54,0
1,36,173,74,1
1,60,78,53,0
1,46,108,88,0
1,17,17,14,1
1,84,81,17,0
1,27,105,79,3
1,32,90,61,3
1,6,181,89,1
1,28,62,18,3
1,64,127,96,3
1,15,127,61,1
1,93,81,42,1
1,98,75,71,1
1,20,130,66,0
1,86,183,95,1
1,97,79,48,1
1,53,108,52,3
1,43,116,54,3
1,68,75,70,1
1,24,101,11,1
1,43,115,82,3
1,57,120,28,1
1,2,154,74,1
1,86,134,97,1
1,9,14,6,1
1,35,134,70,3
1,26,122,74,3
1,99,109,99,1
1,93,121,50,1
1,87,101,93,1
1,25,106,8,1
1,33,151,67,0
1,54,82,35,2
1,20,65,37,0
1,68,79,62,0
1,36,68,48,0
1,29,82,66,0
1,14,88,39,1
1,24,151,93,0
1,58,149,63,1
1,78,77,25,0
1,98,78,46,1
1,77,66,63,1
1,28,7,2,1
1,53,151,91,3
1,41,56,8,2
1,30,78,41,3
1,23,18,0,0
1,7,53,31,1
1,83,137,51,1
1,85,41,32,1
1,28,139,86,3
1,1,110,97,1
1,68,78,53,0
1,0,87,62,1
1,76,130,39,1
1,38,73,15,3
1,93,176,77,1
1,33,105,87,0
1,79,104,65,0
1,16,67,23,0
1,86,175,84,1
1,79,137,70,0
1,6,159,72,1
1,94,72,19,1
1,25,137,76,0
1,55,69,6,3
1,18,51,46,1
1,96,132,72,1
1,94,30,24,1
1,94,126,33,1
1,74,112,69,0
1,81,74,41,0
1,69,147,79,0
1,58,96,53,3
1,47,137,69,0
1,32,36,6,3
1,77,125,71,0
1,33,85,72,1
1,41,76,1,0
1,0,149,56,1
1,16,83,74,1
1,33,82,41,3
1,64,84,6,0
1,82,145,79,0
1,39,41,21,0
1,19,97,74,0
1,35,59,14,3
1,54,92,51,2
1,33,60,2,3
1,13,144,55,1
1,35,64,41,0
1,9,109,59,1
1,86,38,30,1
1,11,148,63,1
1,44,117,98,0
1,78,96,24,0
1,57,78,40,3
1,14,128,93,1
1,41,119,93,3
1,13,105,64,1
1,76,37,36,1
1,9,130,52,1
1,55,143,98,3
1,12,99,56,1
1,94,130,99,1
1,37,97,37,3
1,22,59,57,1
1,89,33,32,1
1,33,72,61,1
1,85,39,33,1
1,27,73,48,0
1,57,79,6,0
1,76,21,5,0
1,35,116,77,3
1,85,72,41,1
1,1,111,90,1
1,46,76,42,3
1,29,85,13,0
1,32,65,5,3
1,46,72,34,2
1,57,78,47,3
1,83,89,65,0
1,36,123,28,1
1,80,77,39,0
1,44,87,8,0
1,68,86,76,1
1,53,92,73,0
1,33,66,52,1
1,64,86,48,3
1,58,56,21,3
1,93,127,65,1
1,99,74,17,1
1,27,132,94,3
1,54,80,12,0
1,5,50,3,1
1,41,154,76,0
1,37,131,97,3
1,87,35,35,1
1,67,135,41,1
1,73,67,62,1
1,11,94,59,1
1,15,26,25,1
1,83,130,59,0
1,41,35,4,3
1,50,145,84,3
1,48,16,14,1
1,9,76,37,1
1,56,69,23,3
1,4,63,9,1
1,99,41,29,1
1,89,159,93,1
1,28,44,23,0
1,22,21,0,0
1,93,50,12,1
1,13,175,79,1
1,96,136,47,1
1,65,100,37,0
1,35,103,80,0
1,83,85,66,0
1,23,39,6,0
1,2,98,45,1
1,2,61,59,1
1,60,70,6,3
1,3,93,73,1
1,29,47,26,0
1,87,106,31,1
1,74,117,24,1
1,38,84,67,0
1,99,7,6,1
1,84,89,89,1
1,76,118,89,0
1,5,96,42,1
1,82,55,23,0
1,0,115,48,1
1,12,115,26,1
1,93,158,64,1
1,87,116,66,1
1,25,137,43,1
1,29,69,13,3
1,81,119,30,1
1,60,86,3,0
1,13,176,98,1
1,13,57,44,1
1,11,67,40,1
1,38,89,69,0
1,17,51,48,1
1,10,101,3,1
1,50,79,69,1
1,74,91,52,0
1,3,28,24,1
1,98,70,66,1
1,62,28,20,1
1,18,127,41,1
1,34,137,50,1
1,2,132,97,1
1,99,90,52,1
1,75,139,86,0
1,18,37,8,0
1,63,46,46,1
1,79,27,14,1
1,89,60,42,1
1,41,159,84,0
1,21,97,5,1
1,75,143,83,0
1,15,60,46,1
1,32,189,94,1
1,83,82,48,0
1,65,156,71,1
1,75,46,33,1
1,44,64,38,3
1,98,57,33,1
1,68,88,15,0
1,72,129,32,1
1,59,76,33,3
1,70,141,56,1
1,91,95,46,1
1,49,78,50,3
1,90,179,87,1
1,75,90,42,0
1,58,35,8,3
1,28,98,86,1
1,56,28,3,0
1,16,57,54,1
1,57,139,81,3
1,86,68,54,1
1,86,111,69,1
1,85,159,97,1
1,98,101,53,1
1,45,57,5,2
1,35,121,80,3
1,66,43,33,1
1,36,88,60,3
1,40,73,0,0
1,54,158,81,0
1,45,90,50,2
1,85,170,98,1
1,91,114,62,1
1,70,50,5,0
1,13,150,83,1
1,26,97,54,3
1,62,162,70,1
1,43,40,23,0
1,94,99,87,1
1,80,146,89,0
1,60,135,45,1
1,82,122,85,0
1,54,90,19,0
1,6,111,94,1
1,54,70,3,0
1,41,143,47,1
1,73,152,97,0
1,11,102,26,1
1,19,40,17,0
1,20,101,71,0
1,85,92,51,1
1,81,136,99,0
1,47,175,96,0
1,63,113,25,1
1,21,83,55,0
1,79,136,77,0
1,32,105,43,3
1,65,145,73,0
1,70,102,28,0
1,33,93,35,3
1,79,106,46,0
1,4,110,25,1
1,62,67,31,3
1,9,148,56,1
1,52,63,45,0
1,45,172,86,1
1,67,100,83,0
1,66,48,20,0
1,91,101,34,1
1,88,167,72,1
1,46,168,76,1
1,25,100,72,0
1,2,28,0,1
1,0,23,2,1
1,27,67,25,3
1,86,97,25,1
1,87,77,74,1
1,13,157,61,1
1,12,104,35,1
1,15,126,90,1
1,78,89,37,0
1,0,75,51,1
1,52,97,22,0
1,27,184,96,1
1,17,71,0,0
1,71,90,60,0
1,55,62,57,1
1,56,88,47,3
1,50,135,69,0
1,99,132,38,1
1,91,77,77,1
1,8,150,87,1
1,40,49,31,0
1,67,77,77,1
1,4,59,59,1
1,1,51,51,1
1,98,121,84,1
1,53,34,3,3
1,71,52,52,1
1,99,103,59,1
1,85,74,59,1
1,92,41,24,1
1,2,102,54,1
1,92,57,15,1
1,35,85,61,0
1,61,83,3,0
1,75,108,29,0
1,78,128,30,1
1,67,79,31,0
1,58,84,46,3
1,37,122,53,0
1,58,33,4,3
1,57,38,13,0
1,24,40,38,1
1,9,24,13,1
1,54,95,71,0
1,15,182,86,1
1,76,88,39,0
1,30,139,49,1
1,34,82,19,3
1,27,97,49,3
1,56,94,66,3
1,30,126,33,1
1,45,92,56,2
1,17,21,12,1
1,37,53,26,3
1,27,124,87,3
1,54,39,35,1
1,23,53,3,0
1,82,151,71,0
1,40,164,74,1
1,88,113,27,1
1,39,96,1,1
1,44,73,17,3
1,13,129,51,1
1,0,96,16,1
1,38,111,16,1
1,22,100,63,0
1,38,116,43,0
1,20,59,3,0
1,7,141,80,1
1,21,138,96,0
1,83,86,79,1
1,29,99,41,3
1,24,49,0,0
1,71,123,83,0
1,67,127,87,0
1,20,81,66,1
1,57,148,63,1
1,44,173,97,0
1,87,163,64,1
1,51,109,33,0
1,31,130,41,1
1,19,40,10,0
1,63,119,85,3
1,87,118,60,1
1,70,132,71,0
1,24,182,85,1
1,41,88,76,1
1,30,88,85,1
1,26,91,26,0
1,17,61,16,0
1,57,76,54,0
1,75,18,18,1
1,87,163,69,1
1,27,96,58,3
1,42,71,28,2
1,43,133,69,3
1,34,52,42,1
1,4,46,36,1
1,62,102,97,1
1,86,122,52,1
1,86,89,27,1
1,20,117,33,0
1,39,143,59,0
1,68,102,87,1
1,78,109,74,0
1,31,93,50,3
1,68,86,2,0
1,43,48,31,0
1,36,159,74,1
1,58,102,48,3
1,24,82,16,0
1,7,77,76,1
1,40,194,95,1
1,94,82,40,1
1,72,86,20,0
1,39,162,72,1
1,56,185,99,1
1,84,12,12,1
1,98,148,92,1
1,35,82,52,3
1,44,139,77,3
1,83,63,24,0
1,24,79,67,1
1,40,106,11,1
1,64,68,15,3
1,3,134,70,1
1,4,39,9,1
1,52,59,6,2
1,98,114,27,1
1,96,22,7,1
1,45,91,66,0
1,93,160,98,1
1,34,117,45,0
1,26,134,69,0
1,38,21,6,1
1,92,56,33,1
1,60,114,30,0
1,54,31,2,3
1,57,87,85,1
1,62,58,42,0
1,96,119,20,1
1,8,47,42,1
1,55,102,9,1
1,30,21,4,0
1,44,140,49,1
1,19,167,89,0
1,91,36,11,1
1,92,83,79,1
1,50,141,51,1
1,33,102,36,0
1,74,147,79,0
1,79,81,42,0
1,35,86,56,3
1,33,140,78,3
1,88,143,54,1
1,49,74,69,1
1,4,55,3,1
1,44,139,92,2
1,45,85,54,3
1,63,47,37,1
1,25,117,77,0
1,50,151,97,2
1,17,163,64,1
1,35,76,19,3
1,5,93,71,1
1,74,43,43,1
