"NUEVA LICITACION / C. ERRORES","TIPO
ANUNCIO",EXPTE.,OBJETO,"FECHA
ANUNCIO",BOLETIN,Nº,"LINK ANUNCIO",ORGANISMO,LOCALIDAD,PROVINCIA,CCAA,TIPO,SECTOR,PCA.,PCT.,"PLAZO LIMITE OFERTAS","FECHA APERTURA PLICAS O SOBRES","CONTRATO TIPO","PROCEDIMIENTO ADJUDICACION","FORMA ADJUDICACION",CLASIFICACION,"OBJETO LOTES",,,"IMPORTE
S/IVA","IMPORTE
C/IVA","C. FINANC.",L1,L2,L3,UDS.,,"DURACION CONTRATO (MESES)","PRORROGA CONTRATO (MESES)","KEYWORDS
MARCAS/MODELOS",OBSERVACIONES,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 2: SISTEMA DE ALIMENTACION ININTERRUMPIDA (SAI)",,,80000,,COMPRA,HARDWARE,PERIFERICOS,SAI,,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 3: SISTEMA BIG DATA",,,200000,,COMPRA,SOFTWARE,"SW INFRAESTRUCTURA","BASES DE DATOS",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 3: SISTEMA BIG DATA",,,,,COMPRA,SOFTWARE,"APLICACIONES HORIZONTALES","BI / DW-BPM (HERRAMIENTAS ANALISIS Y TOMA DE DECISION - BUSINESS INTELLIGENCE, DATAWAREHOUSE, DATAMINING, ETC)",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 3: SISTEMA BIG DATA",,,,,COMPRA,HARDWARE,ALMACENAMIENTO,DISCOS,,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 4: CLUSTER DE VISUALIZACION CIENTIFICA",,,60000,,COMPRA,HARDWARE,SERVIDORES,"HIGH PERFORMANCE COMPUTING (HPC)",,,,,,,,
,PREVIO,,"SUMINISTRO DE EQUIPAMIENTO CIENTIFICO-TECNICO: CLOUD, BIG DATA, VISUALIZACION CIENTIFICA Y ALIMENTACION ELECTRICA ININTERRUMPIDA (SAI) PARA EL CESGA, COFINANCIADO POR EL FONDO EUROPEO DE DESARROLLO REGIONAL 2007–2013 Y POR LA XUNTA DE GALICIA",2015/04/09,"DO UNION EUROPEA",69-122919,http://ted.europa.eu/udl?uri=TED:NOTICE:122919-2015:TEXT:ES:HTML&src=0,"FUNDACION CENTRO TECNOLOGICO DE SUPERCOMPUTACION DE GALICIA (CESGA)","SANTIAGO DE COMPOSTELA","A CORUÑA",GALICIA,CCAA,"INDUSTRIA / TURISMO / COMERCIO / CIENCIA Y TECNOLOGIA",http://www.cesga.es/,981569810,,,SUMINISTRO,ABIERTO,CONCURSO,,"LOTE 4: CLUSTER DE VISUALIZACION CIENTIFICA",,,,,COMPRA,SOFTWARE,"SW INFRAESTRUCTURA","GESTION REDES Y SISTEMAS / ACCESO REMOTO",,,,,,,,
,PREVIO,,"SERVICIO DE ADMINISTRACION, OPERACION, SEGUIMIENTO Y CONTROL DE LA INFRAESTRUCTURA GENERAL DE LOS SERVICIOS DE INFORMACION PENITENCIARIA (INGESIP)",2015/04/10,"DO UNION EUROPEA",70-124716,http://ted.europa.eu/udl?uri=TED:NOTICE:124716-2015:TEXT:ES:HTML&src=0,"DIRECCION GENERAL DE INSTITUCIONES PENITENCIARIAS",MADRID,MADRID,AGE,AGE,INTERIOR,http://www.contrataciondelestado.es/,913354892,,,SERVICIOS,ABIERTO,CONCURSO,,,,,"527801,66",,COMPRA,SERVICIOS,"MANTENIMIENTO O GESTION","SISTEMAS MTO",,,,,,,,
,PREVIO,,"DESARROLLO Y ADMINISTRACION DE LA PLATAFORMA RHAPSODY DE LA CONSELLERIA DE SANIDAD",2015/04/14,"DO UNION EUROPEA",72-127535,http://ted.europa.eu/udl?uri=TED:NOTICE:127535-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,529320,,COMPRA,SERVICIOS,"ASISTENCIA TECNICA",PROGRAMACION,,,,,RHAPSODY,"FECHA PREVISTA INICIO PROCESO ADJUDICACION: 01/07/15",,
,PREVIO,,"DESARROLLO Y ADMINISTRACION DE LA PLATAFORMA RHAPSODY DE LA CONSELLERIA DE SANIDAD",2015/04/14,"DO UNION EUROPEA",72-127535,http://ted.europa.eu/udl?uri=TED:NOTICE:127535-2015:TEXT:ES:HTML&src=0,"CONSELLERIA DE SANIDAD - GENERALITAT VALENCIANA",VALENCIA,VALENCIA,VALENCIA,CCAA,"SANIDAD Y CONSUMO",http://www.contratacion.gva.es/,961961600,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,"MANTENIMIENTO O GESTION","SOFTWARE / APLICACIONES / CONTENIDOS",,,,,,,,
,PREVIO,151,"ARRENDAMIENTO FINANCIERO (LEASING) DE EQUIPOS INFORMATICO PARA UN MAXIMO DE 100 PUESTOS DE TRABAJO",2015/04/16,INTERNET,,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=06a2b2b4-a82b-4a8d-b273-9206314b4e55,"INSTITUTO TECNOLOGICO Y DE ENERGIAS RENOVABLES, SA","GRANADILLA DE ABONA","SANTA CRUZ DE TENERIFE",CANARIAS,EELL,"OTROS (SECTOR PUBLICO)",https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=JnaIJbuInRAQK2TEfXGy%2BA%3D%3D,922747700,,,SUMINISTRO,"NEGOCIADO CON PUBLICIDAD",CONCURSO,,,,,50000,,ARRENDAMIENTO,HARDWARE,"ORDENADORES PERSONALES",SOBREMESA,100,,,,,"FECHA PREVISTA INICIO PROCESO ADJUDICACION: 18/05/15",,
,PREVIO,151,"ARRENDAMIENTO FINANCIERO (LEASING) DE EQUIPOS INFORMATICO PARA UN MAXIMO DE 100 PUESTOS DE TRABAJO",2015/04/16,INTERNET,,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=06a2b2b4-a82b-4a8d-b273-9206314b4e55,"INSTITUTO TECNOLOGICO Y DE ENERGIAS RENOVABLES, SA","GRANADILLA DE ABONA","SANTA CRUZ DE TENERIFE",CANARIAS,EELL,"OTROS (SECTOR PUBLICO)",https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=JnaIJbuInRAQK2TEfXGy%2BA%3D%3D,922747700,,,SUMINISTRO,"NEGOCIADO CON PUBLICIDAD",CONCURSO,,,,,,,ARRENDAMIENTO,HARDWARE,PERIFERICOS,"MONITORES / DISPLAYS",100,,,,,,,
,PREVIO,151,"ARRENDAMIENTO FINANCIERO (LEASING) DE EQUIPOS INFORMATICO PARA UN MAXIMO DE 100 PUESTOS DE TRABAJO",2015/04/16,INTERNET,,https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=06a2b2b4-a82b-4a8d-b273-9206314b4e55,"INSTITUTO TECNOLOGICO Y DE ENERGIAS RENOVABLES, SA","GRANADILLA DE ABONA","SANTA CRUZ DE TENERIFE",CANARIAS,EELL,"OTROS (SECTOR PUBLICO)",https://contrataciondelestado.es/wps/poc?uri=deeplink%3Adetalle_licitacion&idEvl=JnaIJbuInRAQK2TEfXGy%2BA%3D%3D,922747700,,,SUMINISTRO,"NEGOCIADO CON PUBLICIDAD",CONCURSO,,,,,,,ARRENDAMIENTO,SOFTWARE,"SW INFRAESTRUCTURA","S.O. CLIENTE",100,,,,,,,
,PREVIO,,"ACUERDO MARCO DE FIJACION DE CONDICIONES PARA LA CONTRATACION CENTRALIZADA DE SERVICIOS DE ACCIONES DE COMUNICACION",2015/04/21,"DO UNION EUROPEA",77-136258,http://ted.europa.eu/udl?uri=TED:NOTICE:136258-2015:TEXT:ES:HTML&src=0,"AYUNTAMIENTO DE BARCELONA",BARCELONA,BARCELONA,CATALUÑA,EELL,"OTROS (SECTOR PUBLICO)",http://www.bcn.cat/perfildecontractant,934027150,,,SERVICIOS,ABIERTO,"ACUERDO MARCO",,,,,"9917355,37",,COMPRA,SERVICIOS,"SERVICIOS GESTIONADOS","CONTENIDOS MULTIMEDIA",,,,,,"FECHA PREVISTA INICIO PROCESO ADJUDICACION: 01/07/15",,
,PREVIO,,"ACUERDO MARCO DE FIJACION DE CONDICIONES PARA LA CONTRATACION CENTRALIZADA DE SERVICIOS DE ACCIONES DE COMUNICACION",2015/04/21,"DO UNION EUROPEA",77-136258,http://ted.europa.eu/udl?uri=TED:NOTICE:136258-2015:TEXT:ES:HTML&src=0,"AYUNTAMIENTO DE BARCELONA",BARCELONA,BARCELONA,CATALUÑA,EELL,"OTROS (SECTOR PUBLICO)",http://www.bcn.cat/perfildecontractant,934027150,,,SERVICIOS,ABIERTO,"ACUERDO MARCO",,,,,,,COMPRA,SERVICIOS,CONSULTORIA,NEGOCIO,,,,,,,,
,PREVIO,,"SERVICIOS DE TELECOMUNICACIONES A LA ADMINISTRACION DE LA COMUNIDAD AUTONOMA DE EUSKADI",2015/04/21,"DO UNION EUROPEA",77-136274,http://ted.europa.eu/udl?uri=TED:NOTICE:136274-2015:TEXT:ES:HTML&src=0,"DEPARTAMENTO DE JUSTICIA Y ADMINISTRACION PUBLICA - GOBIERNO VASCO",VITORIA,ALAVA,"PAIS VASCO",CCAA,JUSTICIA,http://www.euskadi.eus/,,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,COMUNICACIONES,INTERNET/DATOS,,,,,,,,
,PREVIO,,"SERVICIOS DE TELECOMUNICACIONES A LA ADMINISTRACION DE LA COMUNIDAD AUTONOMA DE EUSKADI",2015/04/21,"DO UNION EUROPEA",77-136274,http://ted.europa.eu/udl?uri=TED:NOTICE:136274-2015:TEXT:ES:HTML&src=0,"DEPARTAMENTO DE JUSTICIA Y ADMINISTRACION PUBLICA - GOBIERNO VASCO",VITORIA,ALAVA,"PAIS VASCO",CCAA,JUSTICIA,http://www.euskadi.eus/,,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,COMUNICACIONES,MOVILES,,,,,,,,
,PREVIO,,"SERVICIOS DE TELECOMUNICACIONES A LA ADMINISTRACION DE LA COMUNIDAD AUTONOMA DE EUSKADI",2015/04/21,"DO UNION EUROPEA",77-136274,http://ted.europa.eu/udl?uri=TED:NOTICE:136274-2015:TEXT:ES:HTML&src=0,"DEPARTAMENTO DE JUSTICIA Y ADMINISTRACION PUBLICA - GOBIERNO VASCO",VITORIA,ALAVA,"PAIS VASCO",CCAA,JUSTICIA,http://www.euskadi.eus/,,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,COMUNICACIONES,FIJAS,,,,,,,,
,PREVIO,,"ADQUISICION, INSTALACION, Y PUESTA EN FUNCIONAMIENTO EFECTIVO DE 9 TORRES DE ENDOSCOPIA Y LAPAROSCOPIA, CON DESTINO AL NUEVO BLOQUE QUIRURGICO DEL HOSPITAL CLINICO UNIVERSITARIO DE VALLADOLID, DEPENDIENTE DE LA GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON",2015/04/22,"DO UNION EUROPEA",78-137454,http://ted.europa.eu/udl?uri=TED:NOTICE:137454-2015:TEXT:ES:HTML&src=0,"GERENCIA REGIONAL DE SALUD - JUNTA CASTILLA Y LEON",VALLADOLID,VALLADOLID,"CASTILLA Y LEON",CCAA,"SANIDAD Y CONSUMO",http://www.saludcastillayleon.es/,983328000,,,SUMINISTRO,ABIERTO,CONCURSO,,,,,480000,,COMPRA,HARDWARE,"SISTEMAS CLINICOS","IMAGEN / DIAGNOSTICO",9,,,,,,,
,PREVIO,,"ADQUISICION, INSTALACION, Y PUESTA EN FUNCIONAMIENTO EFECTIVO DE 9 TORRES DE ENDOSCOPIA Y LAPAROSCOPIA, CON DESTINO AL NUEVO BLOQUE QUIRURGICO DEL HOSPITAL CLINICO UNIVERSITARIO DE VALLADOLID, DEPENDIENTE DE LA GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON",2015/04/22,"DO UNION EUROPEA",78-137454,http://ted.europa.eu/udl?uri=TED:NOTICE:137454-2015:TEXT:ES:HTML&src=0,"GERENCIA REGIONAL DE SALUD - JUNTA CASTILLA Y LEON",VALLADOLID,VALLADOLID,"CASTILLA Y LEON",CCAA,"SANIDAD Y CONSUMO",http://www.saludcastillayleon.es/,983328000,,,SUMINISTRO,ABIERTO,CONCURSO,,,,,,,COMPRA,SOFTWARE,"APLICACIONES ESPECIFICAS O A MEDIDA",SANIDAD,,,,,,,,
,PREVIO,,"ADQUISICION, INSTALACION, Y PUESTA EN FUNCIONAMIENTO EFECTIVO DE 9 TORRES DE ENDOSCOPIA Y LAPAROSCOPIA, CON DESTINO AL NUEVO BLOQUE QUIRURGICO DEL HOSPITAL CLINICO UNIVERSITARIO DE VALLADOLID, DEPENDIENTE DE LA GERENCIA REGIONAL DE SALUD DE CASTILLA Y LEON",2015/04/22,"DO UNION EUROPEA",78-137454,http://ted.europa.eu/udl?uri=TED:NOTICE:137454-2015:TEXT:ES:HTML&src=0,"GERENCIA REGIONAL DE SALUD - JUNTA CASTILLA Y LEON",VALLADOLID,VALLADOLID,"CASTILLA Y LEON",CCAA,"SANIDAD Y CONSUMO",http://www.saludcastillayleon.es/,983328000,,,SUMINISTRO,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,INTEGRACION,"SISTEMAS INTG",,,,,,,,
,PREVIO,,"SERVICIO PARA LA EXPLOTACION, MANTENIMIENTO Y EVOLUCION DE LA APLICACION AINOA",2015/04/22,"DO UNION EUROPEA",78-138093,http://ted.europa.eu/udl?uri=TED:NOTICE:138093-2015:TEXT:ES:HTML&src=0,"MINISTERIO DE JUSTICIA",MADRID,MADRID,AGE,AGE,JUSTICIA,http://www.mjusticia.es/,913902611,,,SERVICIOS,ABIERTO,CONCURSO,,,,,5500000,,COMPRA,SERVICIOS,"ASISTENCIA TECNICA",PROGRAMACION,,,,,,,,
,PREVIO,,"SERVICIO PARA LA EXPLOTACION, MANTENIMIENTO Y EVOLUCION DE LA APLICACION AINOA",2015/04/22,"DO UNION EUROPEA",78-138093,http://ted.europa.eu/udl?uri=TED:NOTICE:138093-2015:TEXT:ES:HTML&src=0,"MINISTERIO DE JUSTICIA",MADRID,MADRID,AGE,AGE,JUSTICIA,http://www.mjusticia.es/,913902611,,,SERVICIOS,ABIERTO,CONCURSO,,,,,,,COMPRA,SERVICIOS,"MANTENIMIENTO O GESTION","SOFTWARE / APLICACIONES / CONTENIDOS",,,,,,,,
